AASP100,101,"Walsh, Shane Bolles",40,5,13,6,4,1,5,0,0,3,0,0,0,0,3,0
AASP100,201,"Walsh, Shane Bolles",35,9,14,1,3,1,5,0,0,1,0,0,1,0,0,0
AASP100,301,"Walsh, Shane Bolles",35,15,9,2,2,1,5,0,0,0,0,0,0,0,1,0
AASP100,401,"Kintiba, George Imongo",30,21,4,2,1,0,2,0,0,0,0,0,0,0,0,0
AASP100,501,"Nichols, Jason Anthony",36,3,8,3,3,1,8,1,0,1,0,3,1,2,2,0
AASP100,601,"Nichols, Jason Anthony",35,8,7,2,5,4,5,2,0,0,0,0,0,1,1,0
AASP101,101,"Newby, Ashley Luetisha",36,12,7,6,1,2,2,1,0,0,1,0,0,3,1,0
AASP101,201,"Grant-Wisdom, Dorith",18,2,2,3,2,3,2,0,0,1,0,0,0,2,1,0
AASP187,101,"Richardson, Joseph B",31,10,5,6,0,1,6,0,0,0,0,0,0,1,1,1
AASP200,101,"Kintiba, George Imongo",40,9,19,9,0,0,2,0,0,0,0,0,0,0,1,0
AASP200,FC01,"Kintiba, George Imongo",20,6,7,3,1,0,1,0,0,0,0,0,0,0,2,0
AASP202,101,"Choflet, Robert Thomas",30,9,3,1,5,0,3,2,0,1,0,0,0,2,3,1
AASP202,102,"Choflet, Robert Thomas",34,6,2,0,12,2,2,6,0,1,0,0,0,2,0,1
AASP202,103,"Harley, Sharon",35,3,6,1,2,6,4,1,3,2,0,2,0,1,4,0
AASP202,104,"Dunbar, Angel",32,5,15,2,1,0,6,1,0,0,0,0,0,1,1,0
AASP210,101,"Dunbar, Angel",9,2,0,1,0,0,0,0,0,1,0,1,0,3,1,0
AASP230,101,"Newby, Ashley Luetisha",61,15,9,22,4,2,2,0,1,0,1,0,2,2,1,0
AASP301,101,"Hardaway, Cecily Renee",5,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0
AASP313,101,"Barkley Brown, Elsa",44,14,6,1,6,1,1,1,1,0,0,2,0,3,7,1
AASP317,101,"Osuji, Chinyere K.",28,6,4,1,3,3,1,2,0,0,0,1,0,5,2,0
AASP320,101,"Hardaway, Cecily Renee",7,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0
AASP370,101,"Drabinski, John E.",32,10,9,1,4,0,7,0,0,0,0,0,0,0,1,0
AASP398B,101,"Osuji, Chinyere K.",25,2,3,1,1,0,2,5,0,0,0,0,1,4,6,0
AASP398G,101,"Harley, Sharon",14,2,1,1,3,3,1,0,0,0,0,0,0,0,2,1
AASP398Q,101,"Choflet, Robert Thomas",11,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0
AASP498O,101,"Nichols, Jason Anthony",18,4,5,3,0,0,5,0,0,0,0,0,0,1,0,0
AAST200,101,"Paudyal, Binod",41,13,2,21,1,0,3,0,0,0,0,0,0,0,1,0
AAST200,201,"Cho, Jennifer",40,24,7,0,2,0,5,0,0,1,0,0,0,0,1,0
AAST201,101,"Chung, Patrick",42,12,5,3,7,3,7,0,1,1,0,0,0,1,2,0
AAST233,101,"Rankin, James Matthew",31,8,1,14,1,0,3,0,0,0,3,0,0,0,1,0
AAST351,101,"Paudyal, Binod",31,3,3,19,1,0,1,1,0,0,0,0,1,0,2,0
AAST355,101,"Cho, Jennifer",31,24,4,0,1,0,1,0,0,0,0,0,0,0,1,0
AAST363,101,"Daus, Gemirald P",29,6,5,1,6,4,1,1,1,1,0,0,0,0,1,2
AAST394,101,"Cheong, Yeram",31,22,3,2,1,0,0,0,0,2,0,0,0,0,1,0
AAST498G,101,"Cho, Jennifer",20,11,2,0,3,0,2,0,0,0,0,0,0,0,2,0
AAST498W,101,"Paudyal, Binod",18,5,3,6,1,0,0,0,0,1,0,0,0,1,1,0
AGNR301,101,"Boules, Caroline R.",166,75,13,43,12,1,9,3,2,1,0,0,1,1,3,2
AGNR630,101,"Welsh, Melissa Leiden",8,2,0,2,0,0,2,0,0,0,0,0,0,0,1,1
AGST130,101,"Murphy, Angus Stuart",58,14,2,0,28,3,0,4,1,0,2,0,0,1,3,0
AGST333,101,"Cochran, Diana",10,3,2,0,1,1,1,0,0,0,0,0,0,0,1,1
AGST440,101,"Welsh, Melissa Leiden",5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
AGST640,101,"Welsh, Melissa Leiden",5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
AMSC460,101,"Doboszczak, Stefan",33,11,4,7,2,0,6,0,0,0,0,0,0,0,3,0
AMSC460,201,"Rowland, Todd Westley",25,7,3,0,8,4,2,1,0,0,0,0,0,0,0,0
AMSC460,301,"Moakler, Christopher John",25,7,9,3,2,1,2,0,0,1,0,0,0,0,0,0
